tract,ZIPCODE
265305,90024
265420,90024
265510,90024
265520,90024
265601,90024
265602,90024
265700,90024
701100,90024
264301,90025
264302,90025
265520,90025
265601,90025
265700,90025
267100,90025
267200,90025
267300,90025
267402,90025
267403,90025
267404,90025
267501,90025
267502,90025
267600,90025
267700,90025
267800,90025
267902,90025
701100,90025
701602,90025
195100,90026
195400,90026
195500,90026
195600,90026
195710,90026
195720,90026
195802,90026
195803,90026
195804,90026
195901,90026
195902,90026
195903,90026
197300,90026
197410,90026
197420,90026
197500,90026
197600,90026
197700,90026
208000,90026
208301,90026
208302,90026
208401,90026
208402,90026
208501,90026
208610,90026
208620,90026
211121,90026
980010,90026
188201,90027
188202,90027
189101,90027
189102,90027
189201,90027
189202,90027
189300,90027
190301,90027
190401,90027
190402,90027
190510,90027
190520,90027
190901,90027
191110,90027
191201,90027
191302,90027
195100,90027
195201,90027
195202,90027
195300,90027
980009,90027
189300,90028
189500,90028
189600,90028
189702,90028
189902,90028
189904,90028
190100,90028
190201,90028
190202,90028
190301,90028
190510,90028
190700,90028
190801,90028
190802,90028
190901,90028
190902,90028
191000,90028
191901,90028
194101,90028
190901,90029
191110,90029
191120,90029
191201,90029
191203,90029
191204,90029
191301,90029
191302,90029
191410,90029
191420,90029
191500,90029
191610,90029
191620,90029
191710,90029
191720,90029
192510,90029
192520,90029
192610,90029
192700,90029
195202,90029
195300,90029
195400,90029
195901,90029
207103,90030
185100,90031
187200,90031
197200,90031
197410,90031
199000,90031
199110,90031
199120,90031
199201,90031
199202,90031
199300,90031
199400,90031
199700,90031
199800,90031
199900,90031
203500,90031
199110,90032
199120,90032
199202,90032
199300,90032
201110,90032
201120,90032
201200,90032
201301,90032
201302,90032
201401,90032
201402,90032
201501,90032
201503,90032
201504,90032
201601,90032
201602,90032
201700,90032
480802,90032
480803,90032
481901,90032
530700,90032
199900,90033
203100,90033
203200,90033
203300,90033
203500,90033
203600,90033
203710,90033
203720,90033
203800,90033
204110,90033
204200,90033
204300,90033
204410,90033
204420,90033
204600,90033
206032,90033
206050,90033
269000,90034
269500,90034
269601,90034
269602,90034
269700,90034
269800,90034
269903,90034
269904,90034
269905,90034
269906,90034
269907,90034
270100,90034
270200,90034
270300,90034
271100,90034
271701,90034
271702,90034
271801,90034
271802,90034
702400,90034
216401,90035
216402,90035
216700,90035
216800,90035
217001,90035
217002,90035
269000,90035
269100,90035
269500,90035
269601,90035
269602,90035
270300,90035
700902,90035
701000,90035
191902,90036
192001,90036
192002,90036
194401,90036
194500,90036
211000,90036
214000,90036
214100,90036
214400,90036
214501,90036
214502,90036
214503,90036
214600,90036
214700,90036
215101,90036
215102,90036
216100,90036
216200,90036
216300,90036
216900,90036
222700,90037
228420,90037
228500,90037
229300,90037
229410,90037
231100,90037
231210,90037
231220,90037
231300,90037
231600,90037
231710,90037
231720,90037
231800,90037
231900,90037
232110,90037
232120,90037
232200,90037
232300,90037
232600,90037
232700,90037
232800,90037
190801,90038
190802,90038
190901,90038
190902,90038
191710,90038
191720,90038
191810,90038
191820,90038
191901,90038
191902,90038
192001,90038
192300,90038
192410,90038
192420,90038
700101,90038
700102,90038
187101,90039
187102,90039
187200,90039
187300,90039
188100,90039
188201,90039
188300,90039
195100,90039
195400,90039
195500,90039
197410,90039
197420,90039
531302,90040
532001,90040
532200,90040
532302,90040
532303,90040
532304,90040
533703,90040
533901,90040
533902,90040
534001,90040
534002,90040
181000,90041
181300,90041
181400,90041
181500,90041
181600,90041
